,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26,OKC,15,15,392,63,111,.568,0,0,,63,111,.568,.568,14,35,.400,41,93,134,43,7,13,21,27,140
1,Bam Adebayo,C,22,MIA,18,18,575,90,153,.588,1,6,.167,89,147,.605,.592,67,103,.650,40,145,185,79,28,22,49,45,248
2,LaMarcus Aldridge,C,34,SAS,20,20,656,153,296,.517,11,31,.355,142,265,.536,.535,60,72,.833,41,93,134,50,13,36,33,43,377
3,Nickeil Alexander-Walker,SG,21,NOP,16,0,230,36,112,.321,21,61,.344,15,51,.294,.415,10,14,.714,2,34,36,36,5,2,20,26,103
4,Grayson Allen,SG,24,MEM,8,0,127,15,53,.283,6,26,.231,9,27,.333,.340,11,13,.846,2,18,20,14,2,0,10,13,47
5,Jarrett Allen,C,21,BRK,19,16,505,89,132,.674,0,1,.000,89,131,.679,.674,49,86,.570,65,132,197,21,13,25,23,47,227
6,Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
7,Kyle Anderson,PF,26,MEM,17,0,348,47,93,.505,4,16,.250,43,77,.558,.527,16,28,.571,16,59,75,44,12,12,15,29,114
8,Ryan Anderson,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,0,7,7,2,1,0,1,1,5
9,Giannis Antetokounmpo,PF,25,MIL,20,20,647,230,411,.560,28,98,.286,202,313,.645,.594,130,222,.586,54,213,267,118,30,28,81,66,618
10,Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
11,Thanasis Antetokounmpo,SF,27,MIL,3,0,13,2,4,.500,0,0,,2,4,.500,.500,0,0,,2,0,2,1,0,0,1,2,4
12,Carmelo Anthony,PF,35,POR,6,6,184,42,91,.462,10,27,.370,32,64,.500,.516,12,15,.800,6,30,36,13,4,1,13,21,106
13,OG Anunoby,SF,22,TOR,17,17,511,76,144,.528,31,65,.477,45,79,.570,.635,9,18,.500,17,79,96,28,19,15,21,41,192
14,Ryan Arcidiacono,PG,25,CHI,20,0,340,29,74,.392,19,44,.432,10,30,.333,.520,14,19,.737,10,24,34,37,11,1,12,42,91
15,Trevor Ariza,SF,34,SAC,11,0,227,15,42,.357,12,32,.375,3,10,.300,.500,4,5,.800,4,34,38,9,9,0,7,19,46
16,D.J. Augustin,PG,32,ORL,18,5,460,58,151,.384,17,56,.304,41,95,.432,.440,33,38,.868,7,31,38,85,12,0,23,19,166
17,Deandre Ayton,C,21,PHO,1,1,33,9,14,.643,0,0,,9,14,.643,.643,0,0,,3,8,11,0,1,4,0,2,18
18,Dwayne Bacon,SG,24,CHO,15,10,318,43,133,.323,9,38,.237,34,95,.358,.357,18,26,.692,7,34,41,20,13,2,19,26,113
19,Marvin Bagley,PF,20,SAC,1,1,28,6,16,.375,0,0,,6,16,.375,.375,2,4,.500,4,6,10,0,1,1,1,1,14
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Lonzo Ball,PG,22,NOP,11,8,298,46,119,.387,24,70,.343,22,49,.449,.487,6,10,.600,10,35,45,63,14,2,26,20,122
22,Mo Bamba,C,21,ORL,16,0,243,35,85,.412,12,30,.400,23,55,.418,.482,4,8,.500,23,57,80,9,5,22,22,35,86
23,J.J. Barea,PG,35,DAL,3,0,44,13,25,.520,7,10,.700,6,15,.400,.660,2,2,1.000,1,3,4,6,2,1,4,1,35
24,Harrison Barnes,PF,27,SAC,18,18,631,103,206,.500,28,72,.389,75,134,.560,.568,67,84,.798,19,71,90,37,18,4,25,24,301
25,RJ Barrett,SG,19,NYK,18,18,594,105,253,.415,20,59,.339,85,194,.438,.455,46,90,.511,22,76,98,63,25,7,49,48,276
26,Will Barton,SF,29,DEN,15,15,492,87,191,.455,29,68,.426,58,123,.472,.531,28,38,.737,29,81,110,52,15,7,23,31,231
27,Keita Bates-Diop,SF,24,MIN,7,0,125,23,41,.561,11,24,.458,12,17,.706,.695,5,8,.625,5,14,19,2,3,4,3,8,62
28,Nicolas Batum,SF,31,CHO,10,0,224,12,35,.343,7,27,.259,5,8,.625,.443,5,5,1.000,9,36,45,35,6,5,16,19,36
29,Aron Baynes,C,33,PHO,13,12,312,71,126,.563,25,57,.439,46,69,.667,.663,24,34,.706,19,55,74,38,4,9,14,51,191
